LABEL = nl100_m50_w50
CHUNK_DIR = results/bootstrap_runs/nl100_m50_w50/chunk_summaries
OUT_DIR = results/bootstrap_runs/nl100_m50_w50/sd_diagnostics
Number of runs = 300
SORT_BOOT_SD = True
INCLUDE_SUMMARY_BAR = True

Multi-run NS SD = 0.4995869964
Mean bootstrap SD = 0.5128905602
Median bootstrap SD = 0.5136172621
Mean bootstrap SD / multi-run SD = 1.0266291235
Median bootstrap SD / multi-run SD = 1.0280837287

Per-run bootstrap SDs:
 Run 211: 0.5247205264
 Run 212: 0.5222149204
 Run 213: 0.5302435300
 Run 214: 0.5219939381
 Run 215: 0.4966924556
 Run 216: 0.5314005486
 Run 217: 0.5548811750
 Run 218: 0.5244718537
 Run 219: 0.5371862397
 Run 220: 0.4862484758
 Run 221: 0.5715092780
 Run 222: 0.4999225746
 Run 223: 0.5254887670
 Run 224: 0.5287180209
 Run 225: 0.4990490124
 Run 226: 0.4822329113
 Run 227: 0.5601429497
 Run 228: 0.4929186251
 Run 229: 0.5424297273
 Run 230: 0.5174437946
 Run 231: 0.4825017862
 Run 232: 0.5395191035
 Run 233: 0.4971967538
 Run 234: 0.5283208511
 Run 235: 0.5374617189
 Run 236: 0.4930047802
 Run 237: 0.4924724034
 Run 238: 0.5464950236
 Run 239: 0.4878508872
 Run 240: 0.4824264343
 Run 241: 0.4952115636
 Run 242: 0.4950600471
 Run 243: 0.5368865720
 Run 244: 0.5062322584
 Run 245: 0.5080402437
 Run 246: 0.4938394549
 Run 247: 0.4968605284
 Run 248: 0.5232170568
 Run 249: 0.5441799624
 Run 250: 0.5196771536
 Run 251: 0.5400255637
 Run 252: 0.5233891664
 Run 253: 0.5259571319
 Run 254: 0.4971243145
 Run 255: 0.5037849512
 Run 256: 0.4918141092
 Run 257: 0.5627534545
 Run 258: 0.4447799273
 Run 259: 0.5147023869
 Run 260: 0.5020352775
 Run 261: 0.4881438453
 Run 262: 0.5383546667
 Run 263: 0.5006521685
 Run 264: 0.4784370599
 Run 265: 0.5206204518
 Run 266: 0.5782592459
 Run 267: 0.5111292993
 Run 268: 0.5362632304
 Run 269: 0.4888446914
 Run 270: 0.5115350213
 Run 271: 0.4875395010
 Run 272: 0.5021229059
 Run 273: 0.4868191214
 Run 274: 0.5169103946
 Run 275: 0.5182574240
 Run 276: 0.5225634880
 Run 277: 0.5234649336
 Run 278: 0.5516327659
 Run 279: 0.5403561611
 Run 280: 0.5154653818
 Run 281: 0.5134465484
 Run 282: 0.5171934251
 Run 283: 0.4810326334
 Run 284: 0.5515097024
 Run 285: 0.5522221736
 Run 286: 0.5255932101
 Run 287: 0.4910987568
 Run 288: 0.5280586422
 Run 289: 0.4924612263
 Run 290: 0.5054669880
 Run 291: 0.5208424311
 Run 292: 0.4945611627
 Run 293: 0.5138715085
 Run 294: 0.5339150364
 Run 295: 0.5505935277
 Run 296: 0.5127413373
 Run 297: 0.5572969490
 Run 298: 0.5417204390
 Run 299: 0.4564392971
 Run 300: 0.5295517599

Saved files:
 bootstrap_sd_dotplot_nl100_m50_w50.png
 sd_summary_nl100_m50_w50.txt
 spread_summary_bar_nl100_m50_w50.png
