label,tag,tag_base,tag_low,ns_seed,boot_seed,n_boot,n_live,ns_logZ,H,bootstrap_sd,skilling_sd_sqrt_H_over_nlive,bootstrap_sd_over_skilling_sd,boot_file,ns_file,empirical_multirun_sd,empirical_multirun_source,bootstrap_sd_over_empirical_multirun_sd,skilling_sd_over_empirical_multirun_sd
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1010,2010,200,900,-181.05609796534543,64.5433718043402,0.2902841228757599,0.2677962986308399,1.0839736186044888,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1010_bootseed2010.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1010.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.7609226062117602,1.624506884659036
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1011,2011,200,900,-180.48599505337108,64.17203318755094,0.26705492125127517,0.26702482861576526,1.0001126960203135,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1011_bootseed2011.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1011.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.620009538491852,1.6198269904364335
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1012,2012,200,900,-180.51413920189196,64.15540758580745,0.2617279384004103,0.2669902361631465,0.9802902988575185,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1012_bootseed2012.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1012.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.5876949756695338,1.6196171455740371
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1013,2013,200,900,-180.59111660765828,64.4111911706015,0.24425251183628754,0.26752194337952395,0.9130186060654288,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1013_bootseed2013.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1013.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.4816854792317011,1.6228425898316472
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1014,2014,200,900,-180.41602262834934,64.49761375501241,0.25341174438733355,0.26770135465355255,0.946621075994509,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1014_bootseed2014.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1014.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.5372472491793827,1.6239309351573108
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1015,2015,200,900,-180.61755018924137,64.37447394452246,0.28312277745820347,0.2674456828436227,1.0586178638140413,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1015_bootseed2015.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1015.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.7174804264888845,1.6223799778902843
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1016,2016,200,900,-180.66361721547128,64.42938074692242,0.2657353693888405,0.2675597145123193,0.9931815403271602,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1016_bootseed2016.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1016.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.6120048681653785,1.6230717172153382
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1017,2017,200,900,-180.94226673692097,64.26133182180074,0.25683252273146867,0.2672105533133016,0.9611615991466295,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1017_bootseed2017.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1017.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.5579983872621406,1.6209536342748345
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1018,2018,200,900,-180.83730819464878,65.29810463803146,0.2809161202934065,0.2693574754815851,1.0429119139580427,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1018_bootseed2018.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1018.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.7040943947378018,1.6339773013719345
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1019,2019,200,900,-180.49698983314988,64.64395256466452,0.2668079220171956,0.2680048767480516,0.9955338322743237,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1019_bootseed2019.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1019.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.618511190836118,1.6257721619953247
d36_ds36_nl900_m50_w50,d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000,d36_nl900_m50_w50_n600_p36_ds36,lmin1of100_lseed36_lN1000_lpnsseed1000,1020,2020,200,900,-180.43147042899662,64.63121404753423,0.28537880127071985,0.267978469382926,1.0649318280228317,results/bootstrap_runs/d36_ds36_nl900_m50_w50/boot_method3_out/boot3_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1020_bootseed2020.npz,results/bootstrap_runs/d36_ds36_nl900_m50_w50/ns_runs_out/ns_out_d36_nl900_m50_w50_n600_p36_ds36_lmin1of100_lseed36_lN1000_lpnsseed1000_nsseed1020.npz,0.16484774620517972,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz,1.7311659263786336,1.6256119695405686
