label,tag_low,n_boot_files,n_unique_ns_runs,n_live,empirical_multirun_sd,mean_bootstrap_sd,median_bootstrap_sd,mean_skilling_sd,median_skilling_sd,mean_boot_over_skilling,median_boot_over_skilling,mean_boot_over_empirical,median_boot_over_empirical,mean_skilling_over_empirical,empirical_multirun_source
d36_ds36_nl900_m50_w50,lmin1of100_lseed36_lN1000_lpnsseed1000,60,60,900,0.16484774620517972,0.27015174831810107,0.2723484865159985,0.26763498179732925,0.26764453202306926,1.0093974652137208,1.0162757258004493,1.6387955221532329,1.6521213834310884,1.6235283038945172,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz
d36_ds36_nl900_m50_w50,lmin1of100_lseed36_lN1000_lpnsseed1015,2,2,900,0.16484774620517972,0.25994692732899005,0.25994692732899005,0.26750269867796955,0.26750269867796955,0.9717541028816009,0.9717541028816009,1.5768909998044136,1.5768909998044136,1.6227258475528026,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz
d36_ds36_nl900_m50_w50,lmin1of100_lseed36_lN1000_lpnsseed1030,2,2,900,0.16484774620517972,0.2739748900558564,0.2739748900558564,0.26648680620710197,0.26648680620710197,1.0281438976963018,1.0281438976963018,1.661987478523669,1.661987478523669,1.6165632369363179,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz
d36_ds36_nl900_m50_w50,lmin1of100_lseed36_lN1000_lpnsseed1045,2,2,900,0.16484774620517972,0.27572756034993434,0.27572756034993434,0.26719805446726175,0.26719805446726175,1.0319275618806287,1.0319275618806287,1.6726195334617842,1.6726195334617842,1.6208778137293458,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz
d36_ds36_nl900_m50_w50,lmin1of100_lseed36_lN1000_lpnsseed1100,120,120,900,0.16484774620517972,0.26878644741869334,0.26758605470988406,0.26768226849201304,0.2676302550817782,1.0041222929404103,0.9987263615178334,1.6305133288516127,1.6232315022179913,1.6238151546144834,results/d36_ds36_nl900_m50_w50/combined_d36_ds36_nl900_m50_w50.npz
d72_ds72_nl1800_m50_w50,lmin1of100_lseed72_lN1000_lpnsseed1000,4,4,1800,0.11853261539365136,0.23972461139358944,0.24041817504550808,0.24336786939323057,0.24336026678193656,0.9850023534114067,0.9870368786717076,2.0224358552914303,2.028287102643185,2.0531721888106205,results/d72_ds72_nl1800_m50_w50/combined_d72_ds72_nl1800_m50_w50.npz
d72_ds72_nl1800_m50_w50,lmin1of100_lseed72_lN1000_lpnsseed1015,6,6,1800,0.11853261539365136,0.24063771577854243,0.2384746974672301,0.2433148715717035,0.24326292899856428,0.9889847782658793,0.9824166820666519,2.0301392572784747,2.011890960772666,2.0527250728725215,results/d72_ds72_nl1800_m50_w50/combined_d72_ds72_nl1800_m50_w50.npz
d72_ds72_nl1800_m50_w50,lmin1of100_lseed72_lN1000_lpnsseed1030,15,15,1800,0.11853261539365136,0.2540623525782762,0.2534840368714346,0.2431596875838,0.24311335114063728,1.0448494801538317,1.0430815305470698,2.143396159230313,2.1385172007687876,2.051415863695046,results/d72_ds72_nl1800_m50_w50/combined_d72_ds72_nl1800_m50_w50.npz
d72_ds72_nl1800_m50_w50,lmin1of100_lseed72_lN1000_lpnsseed1045,15,15,1800,0.11853261539365136,0.24902293808090625,0.2463086731817972,0.24311268837702454,0.2432599895339495,1.024366650288601,1.0135041322979312,2.100881156244563,2.077982269806472,2.0510193550495615,results/d72_ds72_nl1800_m50_w50/combined_d72_ds72_nl1800_m50_w50.npz
nl100_m20_w20,lmin1of100_lseed415_lN1000_lpnsseed1000,300,300,100,0.583743127326304,0.513321050421221,0.5148641948330106,0.513220458532106,0.5131388429287871,1.000196735940013,1.0005524966893447,0.8793611888372298,0.8820047221647356,0.8791888666557666,results/nl100_m20_w20/combined_nl100_m20_w20.npz
nl100_m50_w50,lmin1of100_lseed415_lN1000_lpnsseed1000,300,300,100,0.5291959219454955,0.5128905602493838,0.5136172621077666,0.5117923905832782,0.5117827145892755,1.0021132861004254,0.9996575437844666,0.9691884214901584,0.9705616404214594,0.9671132549581332,results/nl100_m50_w50/combined_nl100_m50_w50.npz
nl300_m20_w20,lmin1of100_lseed415_lN1000_lpnsseed1000,30,30,300,0.3363579955282173,0.2975308057015607,0.2977240548937082,0.29501089108164563,0.2949168586558276,1.0085157826344782,1.012669020860913,0.8845658781927203,0.8851404124529927,0.8770741144962527,results/nl300_m20_w20/combined_nl300_m20_w20.npz
nl300_m50_w50,lmin1of100_lseed415_lN1000_lpnsseed1000,300,300,300,0.29663598705784444,0.29596348753702173,0.296363217525591,0.29531060617640126,0.29534236571428085,1.002197406253284,1.003229170248113,0.9977329132331757,0.9990804570444778,0.9955319619356074,results/nl300_m50_w50/combined_nl300_m50_w50.npz
