label,ns_seed,tag_low,n_boot_files_for_this_ns_run,bootstrap_sd,skilling_sd,bootstrap_minus_skilling_sd,bootstrap_over_skilling,bootstrap_over_skilling_minus_1_pct,abs_bootstrap_over_skilling_minus_1_pct,H,empirical_multirun_sd,bootstrap_over_empirical,skilling_over_empirical
ladderstress_d12_nl25_m250_w250,50000,lmin1of25_lseed415_lN5000_lpnsseed50000,1,1.3542302399197166,0.9961749228222488,0.35805531709746774,1.359430165219444,35.9430165219444,35.9430165219444,24.809111921497834,0.9615583535430523,1.408370313595412,1.0360004872836317
ladderstress_d12_nl25_m250_w250,50002,lmin1of25_lseed415_lN5000_lpnsseed50000,1,1.2772352278356374,1.0486820466958655,0.22855318113977185,1.2179432573103408,21.794325731034082,21.794325731034082,27.493350876555738,0.9615583535430523,1.3282971575561806,1.0906067664347032
nl100_m20_w20,1160,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.609728992059802,0.5160832718819846,0.09364572017781747,1.1814546707478477,18.145467074784772,18.145467074784772,26.63419435164144,0.583743127326304,1.044515924071809,0.8840931014396363
d36_ds36_nl900_m50_w50,1051,lmin1of100_lseed36_lN1000_lpnsseed1000,1,0.3132729171061038,0.26702893727192406,0.046243979834179716,1.1731796572559774,17.317965725597738,17.317965725597738,64.17400800651583,0.16484774620517972,1.900377313719442,1.6198519143814274
d36_ds36_nl900_m50_w50,1153,lmin1of100_lseed36_lN1000_lpnsseed1100,1,0.3100987113584596,0.2678493716555885,0.04224933970287115,1.157735444521397,15.7735444521397,15.7735444521397,64.5689573066642,0.16484774620517972,1.8811219352219202,1.624828836435571
nl100_m50_w50,1257,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.4447799273379283,0.5204045309568474,-0.07562460361891904,0.8546811199359255,-14.531888006407446,14.531888006407446,27.08208758404163,0.5291959219454955,0.8404825299914885,0.9833872661823846
nl300_m50_w50,1271,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.3370580350195155,0.29480930649676207,0.04224872852275341,1.1433086662860064,14.330866628600635,14.330866628600635,26.073758159130538,0.29663598705784444,1.1362681863471564,0.9938420129694979
nl100_m50_w50,1134,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.4380421901978947,0.5099283037219603,-0.0718861135240656,0.8590270181133901,-14.09729818866099,14.09729818866099,26.002687493675573,0.5291959219454955,0.8277505022856372,0.9635907658685252
nl100_m50_w50,1137,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.43620482297486113,0.5072279734115105,-0.07102315043664936,0.8599778518543401,-14.002214814565994,14.002214814565994,25.728021701114795,0.5291959219454955,0.824278504209237,0.9584880615609741
nl100_m20_w20,1236,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.5818829898521788,0.5118007468679069,0.0700822429842719,1.1369326704057345,13.693267040573453,13.693267040573453,26.19400044945473,0.583743127326304,0.9968134314785939,0.876756783779345
nl300_m50_w50,1265,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.25404085170786417,0.293771739676006,-0.03973088796814184,0.8647559223635326,-13.524407763646739,13.524407763646739,25.890550509680114,0.29663598705784444,0.85640604239406,0.9903442349991072
nl100_m20_w20,1102,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.44107859044213044,0.5097580180479971,-0.0686794276058667,0.8652705299882109,-13.472947001178914,13.472947001178914,25.985323696422217,0.583743127326304,0.7556039117109363,0.8732574212613381
nl100_m50_w50,1265,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.5782592458781953,0.5101296987670245,0.06812954711117081,1.1335533831412656,13.355338314126563,13.355338314126563,26.023230956413514,0.5291959219454955,1.0927129667823727,0.9639713338901453
nl300_m50_w50,1257,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.3339551067329825,0.29478283403981737,0.039172272693165144,1.1328851892640195,13.288518926401949,13.288518926401949,26.069075773363952,0.29663598705784444,1.125807795761007,0.9937527707396281
nl300_m50_w50,1019,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.2586020931633475,0.29736684980311234,-0.038764756639764864,0.8696399525857332,-13.036004741426677,13.036004741426677,26.52811300854803,0.29663598705784444,0.871782603750366,1.0024638370836825
nl100_m20_w20,1153,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.5813290729645001,0.5148167598654936,0.06651231309900651,1.129196091277961,12.919609127796106,12.919609127796106,26.503629623840528,0.583743127326304,0.9958645262808303,0.8819234621630389
d36_ds36_nl900_m50_w50,1028,lmin1of100_lseed36_lN1000_lpnsseed1000,1,0.2353631778013212,0.2692865288939948,-0.03392335109267358,0.8740250719855817,-12.597492801441835,12.597492801441835,65.26371117939865,0.16484774620517972,1.4277609686478432,1.6335469249232202
nl100_m50_w50,1049,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.4501252011023049,0.5146808515027151,-0.06455565040041022,0.8745714937481608,-12.54285062518392,12.54285062518392,26.489637890355986,0.5291959219454955,0.8505832763175858,0.9725714620221974
nl300_m20_w20,1029,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.3327323060219637,0.29617527916253417,0.03655702685942952,1.1234303786690039,12.343037866900385,12.343037866900385,26.31593879610151,0.3363579955282173,0.9892207423208126,0.8805358668445502
d36_ds36_nl900_m50_w50,1201,lmin1of100_lseed36_lN1000_lpnsseed1100,1,0.3008908321977721,0.2678870948778199,0.03300373731995215,1.1232001763093693,12.320017630936931,12.320017630936931,64.5871460418703,0.16484774620517972,1.8252650650331894,1.6250576731840243
nl100_m20_w20,1142,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.4537931636389468,0.517518812562089,-0.0637256489231422,0.8768631257912064,-12.31368742087936,12.31368742087936,26.782572135567463,0.583743127326304,0.7773850215889274,0.8865523007225119
d36_ds36_nl900_m50_w50,1194,lmin1of100_lseed36_lN1000_lpnsseed1100,1,0.2997489192557368,0.26711786464802595,0.032631054607710874,1.122159761387386,12.215976138738593,12.215976138738593,64.21675825270898,0.16484774620517972,1.818337988574322,1.6203913659550704
nl300_m50_w50,1255,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.3330382222052416,0.29700535208270523,0.036032870122536365,1.1213206087697116,12.132060876971163,12.132060876971163,26.46365374973151,0.29663598705784444,1.1227168541094734,1.001245179415095
nl100_m50_w50,1177,lmin1of100_lseed415_lN1000_lpnsseed1000,1,0.5755345667728047,0.5133030535604773,0.06223151321232734,1.1212373719202806,12.123737192028061,12.123737192028061,26.348002479451033,0.5291959219454955,1.0875642515478074,0.969967893315219
d36_ds36_nl900_m50_w50,1037,lmin1of100_lseed36_lN1000_lpnsseed1000,1,0.2989892324490901,0.2668912582919355,0.032097974157154596,1.1202661127328668,12.02661127328668,12.02661127328668,64.10784937738738,0.16484774620517972,1.8137295736937136,1.6190167256502621
ladderstress_d12_nl25_m250_w250,50001,lmin1of25_lseed415_lN5000_lpnsseed50000,1,1.139133510837053,1.017033302349419,0.12210020848763414,1.1200552707621019,12.005527076210187,12.005527076210187,25.858918452194114,0.9615583535430523,1.1846743431011648,1.0576927532291287
