LABEL = nl300_m50_w50
CHUNK_DIR = results/bootstrap_runs/nl300_m50_w50/chunk_summaries
OUT_DIR = results/bootstrap_runs/nl300_m50_w50/sd_diagnostics
Number of runs = 300
SORT_BOOT_SD = True
INCLUDE_SUMMARY_BAR = True

Multi-run NS SD = 0.2901636828
Mean bootstrap SD = 0.2959634875
Median bootstrap SD = 0.2963632175
Mean bootstrap SD / multi-run SD = 1.0199880451
Median bootstrap SD / multi-run SD = 1.0213656468

Per-run bootstrap SDs:
 Run 001: 0.3047661342
 Run 002: 0.2722726617
 Run 003: 0.3167010662
 Run 004: 0.2925935715
 Run 005: 0.3040187478
 Run 006: 0.3040217395
 Run 007: 0.2975105530
 Run 008: 0.3091762649
 Run 009: 0.2818810605
 Run 010: 0.2868781645
 Run 011: 0.2994678093
 Run 012: 0.2898236170
 Run 013: 0.2966846321
 Run 014: 0.2692318379
 Run 015: 0.2759337794
 Run 016: 0.3170249355
 Run 017: 0.2864927411
 Run 018: 0.2853780733
 Run 019: 0.2901667643
 Run 020: 0.2586020932
 Run 021: 0.2964680165
 Run 022: 0.3020119774
 Run 023: 0.3122593562
 Run 024: 0.3159701781
 Run 025: 0.3031630842
 Run 026: 0.3063239483
 Run 027: 0.3009227489
 Run 028: 0.2881432070
 Run 029: 0.2905885795
 Run 030: 0.2911881267
 Run 031: 0.3079209637
 Run 032: 0.3065114378
 Run 033: 0.2886518262
 Run 034: 0.2959129000
 Run 035: 0.2854933560
 Run 036: 0.3268159451
 Run 037: 0.2655706558
 Run 038: 0.3117579038
 Run 039: 0.3259021413
 Run 040: 0.2806565118
 Run 041: 0.3118456036
 Run 042: 0.2908061613
 Run 043: 0.3133834803
 Run 044: 0.2762490769
 Run 045: 0.2891989882
 Run 046: 0.3295641239
 Run 047: 0.3045343872
 Run 048: 0.2986809452
 Run 049: 0.2996544124
 Run 050: 0.3021584165
 Run 051: 0.2919892592
 Run 052: 0.2998760264
 Run 053: 0.3083398295
 Run 054: 0.3057068129
 Run 055: 0.3155456183
 Run 056: 0.3020506394
 Run 057: 0.3048484795
 Run 058: 0.2623164521
 Run 059: 0.2755659084
 Run 060: 0.3071922470
 Run 061: 0.3126379522
 Run 062: 0.2994183133
 Run 063: 0.2803011642
 Run 064: 0.3094093295
 Run 065: 0.2800791734
 Run 066: 0.3085345243
 Run 067: 0.2836754485
 Run 068: 0.3127248216
 Run 069: 0.2958831562
 Run 070: 0.2994218044
 Run 071: 0.2990915833
 Run 072: 0.3055619926
 Run 073: 0.2853428534
 Run 074: 0.3159896488
 Run 075: 0.2726749450
 Run 076: 0.3215043484
 Run 077: 0.3225948728
 Run 078: 0.3086666465
 Run 079: 0.3192822794
 Run 080: 0.2686997399
 Run 081: 0.2948701117
 Run 082: 0.2849781020
 Run 083: 0.2799107778
 Run 084: 0.2863368183
 Run 085: 0.2821234858
 Run 086: 0.2985646996
 Run 087: 0.2707204816
 Run 088: 0.2971777282
 Run 089: 0.2873700152
 Run 090: 0.2743604619
 Run 091: 0.3014758566
 Run 092: 0.3000260572
 Run 093: 0.3039576164
 Run 094: 0.3041862984
 Run 095: 0.2911428325
 Run 096: 0.3125536286
 Run 097: 0.3069414392
 Run 098: 0.3164786901
 Run 099: 0.3008398950
 Run 100: 0.3101637717
 Run 101: 0.3005922072
 Run 102: 0.3050399415
 Run 103: 0.2997387679
 Run 104: 0.2986803386
 Run 105: 0.2979349405
 Run 106: 0.3147547660
 Run 107: 0.2949643294
 Run 108: 0.2818723842
 Run 109: 0.3049079638
 Run 110: 0.2981508470
 Run 111: 0.2900445097
 Run 112: 0.3079798413
 Run 113: 0.3017408836
 Run 114: 0.3019272172
 Run 115: 0.2833615546
 Run 116: 0.2983482652
 Run 117: 0.3082741602
 Run 118: 0.2808743882
 Run 119: 0.2889590866
 Run 120: 0.2907492463
 Run 121: 0.3020657535
 Run 122: 0.2820147813
 Run 123: 0.2812715992
 Run 124: 0.2896350685
 Run 125: 0.2799880945
 Run 126: 0.3047533517
 Run 127: 0.3079484965
 Run 128: 0.2853491295
 Run 129: 0.3174730283
 Run 130: 0.3202667077
 Run 131: 0.3034254770
 Run 132: 0.3114996151
 Run 133: 0.3090120758
 Run 134: 0.2884353887
 Run 135: 0.2777471022
 Run 136: 0.2808202899
 Run 137: 0.3009986379
 Run 138: 0.3166987449
 Run 139: 0.3110464772
 Run 140: 0.2935537766
 Run 141: 0.3113964052
 Run 142: 0.3080121776
 Run 143: 0.2690877651
 Run 144: 0.2855951077
 Run 145: 0.2943457234
 Run 146: 0.2979513113
 Run 147: 0.3158434127
 Run 148: 0.3052029494
 Run 149: 0.2948493131
 Run 150: 0.2754358192
 Run 151: 0.2854734873
 Run 152: 0.2805992007
 Run 153: 0.2834635618
 Run 154: 0.2651382019
 Run 155: 0.3006579254
 Run 156: 0.3303235946
 Run 157: 0.3012980592
 Run 158: 0.2782786354
 Run 159: 0.2949294419
 Run 160: 0.3067843360
 Run 161: 0.2898049534
 Run 162: 0.3016436190
 Run 163: 0.2954655455
 Run 164: 0.3062940105
 Run 165: 0.2924209934
 Run 166: 0.2783154230
 Run 167: 0.2962584185
 Run 168: 0.2764543960
 Run 169: 0.2726051900
 Run 170: 0.3149010278
 Run 171: 0.3103774975
 Run 172: 0.2911383264
 Run 173: 0.2860709789
 Run 174: 0.2926565832
 Run 175: 0.2976832702
 Run 176: 0.2841120492
 Run 177: 0.2982228869
 Run 178: 0.2925121177
 Run 179: 0.3045860973
 Run 180: 0.3039160874
 Run 181: 0.2922127152
 Run 182: 0.3201280215
 Run 183: 0.2875363911
 Run 184: 0.2950834105
 Run 185: 0.2952656973
 Run 186: 0.2903986385
 Run 187: 0.3111469322
 Run 188: 0.2981039660
 Run 189: 0.3104238409
 Run 190: 0.2926324599
 Run 191: 0.2755294851
 Run 192: 0.3235076681
 Run 193: 0.2968794977
 Run 194: 0.3073390224
 Run 195: 0.2923702041
 Run 196: 0.2835818059
 Run 197: 0.2859929070
 Run 198: 0.2800461180
 Run 199: 0.3079147865
 Run 200: 0.2616006230
 Run 201: 0.2654538019
 Run 202: 0.2786069893
 Run 203: 0.3270530384
 Run 204: 0.3049945042
 Run 205: 0.2838028116
 Run 206: 0.2967839889
 Run 207: 0.3005501868
 Run 208: 0.2959954388
 Run 209: 0.2993911184
 Run 210: 0.2922033069
 Run 211: 0.2904324891
 Run 212: 0.2808096767
 Run 213: 0.3073357967
 Run 214: 0.2961284862
 Run 215: 0.2980456226
 Run 216: 0.2793805864
 Run 217: 0.3262791825
 Run 218: 0.2951688355
 Run 219: 0.3073745267
 Run 220: 0.2874955058
 Run 221: 0.3113443404
 Run 222: 0.2909809718
 Run 223: 0.2886286455
 Run 224: 0.2781901741
 Run 225: 0.3128140953
 Run 226: 0.2961434032
 Run 227: 0.3054885823
 Run 228: 0.3052063792
 Run 229: 0.3054255695
 Run 230: 0.2746278037
 Run 231: 0.2733416456
 Run 232: 0.3115659671
 Run 233: 0.3091843180
 Run 234: 0.2779461389
 Run 235: 0.3014074767
 Run 236: 0.2783447195
 Run 237: 0.2862444914
 Run 238: 0.2861869725
 Run 239: 0.2618545333
 Run 240: 0.3014146937
 Run 241: 0.2999455028
 Run 242: 0.2904021008
 Run 243: 0.2905492921
 Run 244: 0.2783215960
 Run 245: 0.2978046692
 Run 246: 0.2975775157
 Run 247: 0.2728353990
 Run 248: 0.2985586340
 Run 249: 0.2960715100
 Run 250: 0.2848933835
 Run 251: 0.2904790876
 Run 252: 0.2957150044
 Run 253: 0.2875749221
 Run 254: 0.3006429165
 Run 255: 0.2976221210
 Run 256: 0.3330382222
 Run 257: 0.2927437451
 Run 258: 0.3339551067
 Run 259: 0.3039625775
 Run 260: 0.3287701757
 Run 261: 0.2881879733
 Run 262: 0.2920443435
 Run 263: 0.2739011418
 Run 264: 0.2872093795
 Run 265: 0.3132499652
 Run 266: 0.2540408517
 Run 267: 0.2943732328
 Run 268: 0.2837846018
 Run 269: 0.3006705310
 Run 270: 0.2911077443
 Run 271: 0.3011325741
 Run 272: 0.3370580350
 Run 273: 0.3085654092
 Run 274: 0.3221100677
 Run 275: 0.2754630080
 Run 276: 0.2804692704
 Run 277: 0.3005847230
 Run 278: 0.2864575863
 Run 279: 0.2911068696
 Run 280: 0.2811733008
 Run 281: 0.3002674771
 Run 282: 0.2894954975
 Run 283: 0.2728486524
 Run 284: 0.3140548522
 Run 285: 0.2972941896
 Run 286: 0.3115761082
 Run 287: 0.2783013921
 Run 288: 0.2920995447
 Run 289: 0.2951609438
 Run 290: 0.2785201315
 Run 291: 0.2954564426
 Run 292: 0.3091316055
 Run 293: 0.2878958684
 Run 294: 0.2942061968
 Run 295: 0.2924192576
 Run 296: 0.2746869612
 Run 297: 0.2915085904
 Run 298: 0.2972997720
 Run 299: 0.2773515236
 Run 300: 0.3089516771

Saved files:
 bootstrap_sd_dotplot_nl300_m50_w50.png
 sd_summary_nl300_m50_w50.txt
 spread_summary_bar_nl300_m50_w50.png
