LABEL = nl100_m20_w20
CHUNK_DIR = results/bootstrap_runs/nl100_m20_w20/chunk_summaries
OUT_DIR = results/bootstrap_runs/nl100_m20_w20/sd_diagnostics
Number of runs = 300
SORT_BOOT_SD = True
INCLUDE_SUMMARY_BAR = True

Multi-run NS SD = 0.5584022829
Mean bootstrap SD = 0.5133210504
Median bootstrap SD = 0.5148641948
Mean bootstrap SD / multi-run SD = 0.9192674638
Median bootstrap SD / multi-run SD = 0.9220309633

Per-run bootstrap SDs:
 Run 001: 0.5251187166
 Run 002: 0.4589241492
 Run 003: 0.4856767638
 Run 004: 0.5338204393
 Run 005: 0.5266661040
 Run 006: 0.4924432524
 Run 007: 0.5223171921
 Run 008: 0.4943721403
 Run 009: 0.4830071891
 Run 010: 0.4958172915
 Run 011: 0.5272413882
 Run 012: 0.4955051665
 Run 013: 0.4907119092
 Run 014: 0.5297687084
 Run 015: 0.5278127845
 Run 016: 0.5006202218
 Run 017: 0.4864813900
 Run 018: 0.5380687881
 Run 019: 0.5385436468
 Run 020: 0.5384575081
 Run 021: 0.5204374448
 Run 022: 0.5709549646
 Run 023: 0.4770164159
 Run 024: 0.4761236246
 Run 025: 0.5398068365
 Run 026: 0.5521571339
 Run 027: 0.4583310597
 Run 028: 0.5111692397
 Run 029: 0.4574514667
 Run 030: 0.4585265803
 Run 031: 0.5082887495
 Run 032: 0.5009455752
 Run 033: 0.5268478455
 Run 034: 0.5264356752
 Run 035: 0.4790698702
 Run 036: 0.5151079352
 Run 037: 0.4762736928
 Run 038: 0.4731187933
 Run 039: 0.5100115078
 Run 040: 0.5299410114
 Run 041: 0.5327192935
 Run 042: 0.5012735284
 Run 043: 0.5597713575
 Run 044: 0.4777261755
 Run 045: 0.4774832765
 Run 046: 0.4984553416
 Run 047: 0.5095651012
 Run 048: 0.4648051260
 Run 049: 0.5435644527
 Run 050: 0.4813437814
 Run 051: 0.4910214488
 Run 052: 0.4934607074
 Run 053: 0.5316887949
 Run 054: 0.4952329638
 Run 055: 0.4831279064
 Run 056: 0.5455606185
 Run 057: 0.5173336161
 Run 058: 0.5528767401
 Run 059: 0.5378146006
 Run 060: 0.4882250454
 Run 061: 0.5273534598
 Run 062: 0.5056449903
 Run 063: 0.5594649406
 Run 064: 0.5200554244
 Run 065: 0.4914921479
 Run 066: 0.5337759177
 Run 067: 0.4886545782
 Run 068: 0.4875411468
 Run 069: 0.5256838488
 Run 070: 0.5186277733
 Run 071: 0.4999637103
 Run 072: 0.5506074797
 Run 073: 0.5329548300
 Run 074: 0.5305876672
 Run 075: 0.4645258885
 Run 076: 0.5033227443
 Run 077: 0.5399326783
 Run 078: 0.5425091819
 Run 079: 0.4884082628
 Run 080: 0.4903877079
 Run 081: 0.5769248290
 Run 082: 0.4913553004
 Run 083: 0.5214730933
 Run 084: 0.5066728975
 Run 085: 0.5540747956
 Run 086: 0.4822938290
 Run 087: 0.5273881604
 Run 088: 0.4895137916
 Run 089: 0.4997065459
 Run 090: 0.5219474169
 Run 091: 0.4608549494
 Run 092: 0.5369185636
 Run 093: 0.5200270446
 Run 094: 0.4792557483
 Run 095: 0.5300283071
 Run 096: 0.5032224407
 Run 097: 0.5177321158
 Run 098: 0.5122297167
 Run 099: 0.5167364189
 Run 100: 0.5437046278
 Run 101: 0.4997802158
 Run 102: 0.4965691782
 Run 103: 0.4410785904
 Run 104: 0.4670451268
 Run 105: 0.5240854651
 Run 106: 0.5410985559
 Run 107: 0.5059841908
 Run 108: 0.5131918521
 Run 109: 0.5380814167
 Run 110: 0.4818999454
 Run 111: 0.5043289825
 Run 112: 0.5374294601
 Run 113: 0.4957514629
 Run 114: 0.4944204248
 Run 115: 0.5080632043
 Run 116: 0.5167735204
 Run 117: 0.5255654197
 Run 118: 0.5323212165
 Run 119: 0.4596621832
 Run 120: 0.5164824983
 Run 121: 0.4969941727
 Run 122: 0.4934855366
 Run 123: 0.4993117050
 Run 124: 0.5201976546
 Run 125: 0.5044170598
 Run 126: 0.5161118391
 Run 127: 0.4798684284
 Run 128: 0.5512501724
 Run 129: 0.5321257199
 Run 130: 0.5106653187
 Run 131: 0.5316017204
 Run 132: 0.5444386840
 Run 133: 0.5592664377
 Run 134: 0.5531179015
 Run 135: 0.4977541991
 Run 136: 0.5230708678
 Run 137: 0.5002554901
 Run 138: 0.5327701660
 Run 139: 0.5089318344
 Run 140: 0.5139482269
 Run 141: 0.5451887746
 Run 142: 0.4538886491
 Run 143: 0.4537931636
 Run 144: 0.4683139652
 Run 145: 0.4932715021
 Run 146: 0.5492549981
 Run 147: 0.4902409034
 Run 148: 0.5331837603
 Run 149: 0.4900765150
 Run 150: 0.4932982858
 Run 151: 0.4794268571
 Run 152: 0.5064387321
 Run 153: 0.4911369302
 Run 154: 0.5813290730
 Run 155: 0.4697379427
 Run 156: 0.4813459194
 Run 157: 0.5027747184
 Run 158: 0.5223082375
 Run 159: 0.4999801164
 Run 160: 0.4481265402
 Run 161: 0.6097289921
 Run 162: 0.5106469351
 Run 163: 0.5416951355
 Run 164: 0.5104914733
 Run 165: 0.5161190256
 Run 166: 0.5523980738
 Run 167: 0.5169973979
 Run 168: 0.5146204545
 Run 169: 0.4960388801
 Run 170: 0.4968711901
 Run 171: 0.5402630403
 Run 172: 0.5238996325
 Run 173: 0.5078501246
 Run 174: 0.4915775438
 Run 175: 0.5274659837
 Run 176: 0.4841884246
 Run 177: 0.5379032474
 Run 178: 0.5297199244
 Run 179: 0.4815864352
 Run 180: 0.5315904799
 Run 181: 0.4827277688
 Run 182: 0.5415979953
 Run 183: 0.4998979691
 Run 184: 0.5036760553
 Run 185: 0.5113205898
 Run 186: 0.4744717176
 Run 187: 0.5638531926
 Run 188: 0.4870918423
 Run 189: 0.5302255226
 Run 190: 0.5138117410
 Run 191: 0.5663434157
 Run 192: 0.5198598790
 Run 193: 0.4865654453
 Run 194: 0.4769227994
 Run 195: 0.5388596448
 Run 196: 0.5191506205
 Run 197: 0.4807036387
 Run 198: 0.5367049506
 Run 199: 0.5447810006
 Run 200: 0.5097051501
 Run 201: 0.5231541549
 Run 202: 0.4844881376
 Run 203: 0.5496726358
 Run 204: 0.5197948738
 Run 205: 0.4907971489
 Run 206: 0.5109808044
 Run 207: 0.5360106064
 Run 208: 0.5323883096
 Run 209: 0.4903956285
 Run 210: 0.5052689133
 Run 211: 0.5183848975
 Run 212: 0.4938044268
 Run 213: 0.5297913094
 Run 214: 0.5266396583
 Run 215: 0.5289583030
 Run 216: 0.5484484864
 Run 217: 0.5216723741
 Run 218: 0.5541661383
 Run 219: 0.5241500962
 Run 220: 0.5291122313
 Run 221: 0.5160748240
 Run 222: 0.5136866385
 Run 223: 0.4856582344
 Run 224: 0.5232062638
 Run 225: 0.5866344530
 Run 226: 0.5474618350
 Run 227: 0.5343733211
 Run 228: 0.5512572916
 Run 229: 0.5220560487
 Run 230: 0.5328935733
 Run 231: 0.5053218054
 Run 232: 0.4752968938
 Run 233: 0.5333145950
 Run 234: 0.4754722405
 Run 235: 0.5450093472
 Run 236: 0.5376664703
 Run 237: 0.5818829899
 Run 238: 0.4907506602
 Run 239: 0.5159224249
 Run 240: 0.4848181338
 Run 241: 0.5052323161
 Run 242: 0.5224612724
 Run 243: 0.4981219515
 Run 244: 0.5014946779
 Run 245: 0.5397364478
 Run 246: 0.5242242280
 Run 247: 0.4799661605
 Run 248: 0.4701142879
 Run 249: 0.5069544553
 Run 250: 0.4988518958
 Run 251: 0.5491961869
 Run 252: 0.4914259022
 Run 253: 0.4761433026
 Run 254: 0.4954253582
 Run 255: 0.4808477624
 Run 256: 0.5219352831
 Run 257: 0.4940402834
 Run 258: 0.5447972439
 Run 259: 0.4876778668
 Run 260: 0.4991515090
 Run 261: 0.5220327456
 Run 262: 0.5236853942
 Run 263: 0.5425891490
 Run 264: 0.5046557020
 Run 265: 0.4885668790
 Run 266: 0.5298575784
 Run 267: 0.5110645886
 Run 268: 0.5030671996
 Run 269: 0.5686317119
 Run 270: 0.5154025420
 Run 271: 0.5184826284
 Run 272: 0.5280090149
 Run 273: 0.4908041150
 Run 274: 0.5078372624
 Run 275: 0.5411647291
 Run 276: 0.5023982364
 Run 277: 0.4873744522
 Run 278: 0.5311871251
 Run 279: 0.5343229491
 Run 280: 0.5404287391
 Run 281: 0.5292433381
 Run 282: 0.4972521745
 Run 283: 0.5132955422
 Run 284: 0.5456244816
 Run 285: 0.5371963935
 Run 286: 0.5308310477
 Run 287: 0.5435376606
 Run 288: 0.4903953309
 Run 289: 0.4700528808
 Run 290: 0.5159055084
 Run 291: 0.5216792067
 Run 292: 0.5361648538
 Run 293: 0.5530240978
 Run 294: 0.5156172829
 Run 295: 0.5139546143
 Run 296: 0.5184523196
 Run 297: 0.5094613991
 Run 298: 0.5386700282
 Run 299: 0.5515531769
 Run 300: 0.5399754929

Saved files:
 bootstrap_sd_dotplot_nl100_m20_w20.png
 sd_summary_nl100_m20_w20.txt
 spread_summary_bar_nl100_m20_w20.png
